item_id	movie_title_item	movie_title_emb
1	Toy Story	Toy Story 2 (1999)
2	GoldenEye	GoldenEye (1995)
3	Four Rooms	Four Rooms (1995)
4	Get Shorty	Get Shorty (1995)
5	Copycat	
6	Shanghai Triad (Yao a yao yao dao waipo qiao)	
7	Twelve Monkeys	
8	Babe	Babe Pig in the City (1998)
9	Dead Man Walking	Dead Man Walking (1995)
10	Richard III	
11	Seven (Se7en)	
12	Usual Suspects, The	
13	Mighty Aphrodite	Mighty Aphrodite (1995)
14	Postino, Il	
15	Mr. Holland's Opus	Mr. Holland's Opus (1995)
16	French Twist (Gazon maudit)	
17	From Dusk Till Dawn	From Dusk Till Dawn (1996)
18	White Balloon, The	
19	Antonia's Line	
20	Angels and Insects	Angels and Insects (1995)
21	Muppet Treasure Island	Muppet Treasure Island (1996)
22	Braveheart	Braveheart (1995)
23	Taxi Driver	Taxi Driver (1976)
24	Rumble in the Bronx	
25	Birdcage, The	
26	Brothers McMullen, The	
27	Bad Boys	Bad Boys II (2003)
28	Apollo 13	Apollo 13 (1995)
29	Batman Forever	Batman Forever (1995)
30	Belle de jour	
31	Crimson Tide	Crimson Tide (1995)
32	Crumb	Crumb (1994)
33	Desperado	Desperado (1995)
34	Doom Generation, The	
35	Free Willy 2: The Adventure Home	
36	Mad Love	
37	Nadja	Nadja (1994)
38	Net, The	
39	Strange Days	Strange Days (1995)
40	To Wong Foo, Thanks for Everything! Julie Newmar	To Wong Foo, Thanks for Everything! Julie Newmar (1995)
41	Billy Madison	Billy Madison (1995)
42	Clerks	Clerks II (2006)
43	Disclosure	
44	Dolores Claiborne	Dolores Claiborne (1995)
45	Eat Drink Man Woman	
46	Exotica	Exotica (1994)
47	Ed Wood	Ed Wood (1994)
48	Hoop Dreams	Hoop Dreams (1994)
49	I.Q.	I.Q. (1994)
50	Star Wars	Star Wars Episode VI - Return of the Jedi (1983)
51	Legends of the Fall	Legends of the Fall (1994)
52	Madness of King George, The	
53	Natural Born Killers	Natural Born Killers (1994)
54	Outbreak	Outbreak (1995)
55	Professional, The	
56	Pulp Fiction	Pulp Fiction (1994)
57	Priest	Priest (1994)
58	Quiz Show	Quiz Show (1994)
59	Three Colors: Red	
60	Three Colors: Blue	
61	Three Colors: White	
62	Stargate	Stargate (1994)
63	Santa Clause, The	
64	Shawshank Redemption, The	Shawshank Redemption, The (1994)
65	What's Eating Gilbert Grape	What's Eating Gilbert Grape (1993)
66	While You Were Sleeping	While You Were Sleeping (1995)
67	Ace Ventura: Pet Detective	
68	Crow, The	
69	Forrest Gump	Forrest Gump (1994)
70	Four Weddings and a Funeral	Four Weddings and a Funeral (1994)
71	Lion King, The	Lion King, The (1994)
